dataset_id,number_of_citations
ds004595,1.0
ds004598,1.0
ds004602,5.0
ds004603,1.0
ds004621,2.0
ds004624,0.0
ds004625,2.0
ds004626,1.0
ds004635,3.0
ds004642,2.0
ds004657,1.0
ds004660,2.0
ds004661,0.0
ds004696,1.0
ds004703,2.0
ds004706,2.0
ds004718,1.0
ds004738,1.0
ds004745,0.0
ds004752,4.0
ds004770,2.0
ds004771,4.0
ds004774,0.0
ds004784,1.0
ds004785,1.0
ds004789,5.0
ds004796,4.0
ds004802,2.0
ds004809,3.0
ds004816,0.0
ds004817,0.0
ds004819,1.0
ds004837,0.0
ds004840,2.0
ds004841,0.0
ds004842,0.0
ds004843,0.0
ds004844,0.0
ds004849,0.0
ds004850,0.0
ds004851,0.0
ds004852,0.0
ds004853,0.0
ds004854,0.0
ds004855,0.0
ds004859,0.0
ds004860,1.0
ds004865,0.0
ds004883,4.0
ds004902,9.0
ds004942,1.0
ds004944,1.0
ds004951,1.0
ds004952,2.0
ds004977,2.0
ds004980,1.0
ds004993,0.0
ds004995,1.0
ds004998,1.0
ds005007,0.0
ds005021,0.0
ds005028,1.0
ds005034,1.0
ds005048,3.0
ds005059,0.0
ds005065,2.0
ds005079,1.0
ds005083,1.0
ds005087,1.0
ds005089,1.0
ds005095,7.0
ds005106,1.0
ds005107,1.0
ds005114,0.0
ds005121,1.0
ds005131,0.0
ds005169,0.0
ds005170,1.0
ds005178,2.0
ds005185,2.0
ds005189,0.0
ds005207,0.0
ds005234,4.0
ds005241,0.0
ds005261,1.0
ds005262,0.0
ds005273,1.0
ds005274,0.0
ds005279,0.0
ds005296,1.0
ds005305,1.0
ds005307,2.0
ds005340,1.0
ds005342,1.0
ds005343,1.0
ds005345,0.0
ds005356,1.0
ds005363,1.0
ds005383,1.0
ds005385,2.0
ds005397,1.0
ds005398,2.0
ds005403,2.0
ds005406,0.0
ds005410,1.0
ds005411,1.0
ds005415,1.0
ds005416,0.0
ds005420,0.0
ds005429,0.0
ds005486,1.0
ds005489,0.0
ds005491,0.0
ds005494,0.0
ds005505,1.0
ds005506,1.0
ds005507,1.0
ds005508,1.0
ds005509,1.0
ds005510,1.0
ds005511,1.0
ds005512,2.0
ds005514,1.0
ds005515,0.0
ds005516,70.0
ds005520,0.0
ds005522,0.0
ds005523,0.0
ds005530,0.0
ds005540,0.0
ds005545,1.0
ds005555,0.0
ds005557,0.0
ds005558,0.0
ds005565,1.0
ds005574,1.0
ds005586,2.0
ds005592,0.0
ds005594,1.0
ds005620,0.0
ds005624,1.0
ds005628,0.0
ds005648,0.0
ds005670,0.0
ds005672,3.0
ds005688,1.0
ds005691,2.0
ds005692,3.0
ds005697,3.0
ds005779,0.0
ds005787,0.0
ds005795,0.0
ds005810,0.0
ds005811,
ds005815,1.0
ds005857,0.0
ds005863,0.0
ds005866,1.0
ds005868,1.0
ds005873,1.0
ds005876,0.0
ds005907,0.0
ds005931,1.0
ds005946,0.0
ds005953,0.0
ds005960,1.0
ds006012,0.0
ds006018,1.0
ds006035,0.0
ds006036,1.0
ds006040,0.0
ds006065,1.0
ds006095,0.0
ds006104,0.0
ds006107,0.0
ds006126,0.0
ds006171,0.0
ds006233,0.0
ds006234,0.0
