dataset_id,number_of_citations
ds004017,1.0
ds004018,0.0
ds004019,1.0
ds004022,2.0
ds004024,1.0
ds004033,1.0
ds004040,2.0
ds004043,1.0
ds004067,1.0
ds004075,1.0
ds004100,24.0
ds004080,3.0
ds004078,9.0
ds004105,0.0
ds004106,0.0
ds004107,2.0
ds004117,2.0
ds004118,0.0
ds004119,0.0
ds004120,0.0
ds004121,1.0
ds004122,1.0
ds004123,1.0
ds004127,1.0
ds004147,2.0
ds004148,19.0
ds004151,2.0
ds004152,2.0
ds004010,0.0
ds004186,11.0
ds004166,1.0
ds004212,4.0
ds004200,1.0
ds004229,0.0
ds004252,1.0
ds004256,1.0
ds004264,0.0
ds004276,2.0
ds004262,2.0
ds004279,3.0
ds004278,0.0
ds004295,2.0
ds004284,2.0
ds004306,2.0
ds004315,1.0
ds004317,1.0
ds004324,0.0
ds004330,2.0
ds004346,0.0
ds004347,0.0
ds004348,3.0
ds004350,2.0
ds004362,7.0
ds004357,3.0
ds004356,3.0
ds004367,1.0
ds004368,0.0
ds004370,1.0
ds004369,1.0
ds004381,2.0
ds004388,4.0
ds004389,3.0
ds004395,8.0
ds004398,1.0
ds004444,1.0
ds004408,2.0
ds004446,1.0
ds004447,1.0
ds004448,1.0
ds004460,1.0
ds004457,2.0
ds004473,1.0
ds004475,2.0
ds004477,1.0
ds004483,2.0
ds004502,3.0
ds004504,78.0
ds004505,5.0
ds004511,3.0
ds004514,3.0
ds004515,4.0
ds004519,3.0
ds004520,3.0
ds004517,3.0
ds004521,3.0
ds004532,0.0
ds004551,3.0
ds004561,3.0
ds004563,2.0
ds004572,2.0
ds004574,1.0
ds004554,0.0
ds004577,4.0
ds004580,1.0
ds004579,1.0
ds004582,0.0
ds004587,1.0
ds004588,2.0
ds004584,10.0
ds004595,1.0
ds004621,2.0
ds004602,6.0
ds004624,0.0
ds004603,1.0
ds004625,2.0
ds004626,1.0
ds004642,2.0
ds004635,3.0
ds004657,1.0
ds004660,2.0
ds004661,0.0
ds004696,1.0
ds004703,2.0
ds004718,1.0
ds004706,3.0
ds004738,1.0
ds004745,0.0
ds004752,4.0
ds004771,4.0
ds004770,1.0
ds004774,0.0
ds004784,1.0
ds004785,1.0
ds004789,5.0
ds004796,4.0
ds004809,4.0
ds004802,2.0
ds004816,2.0
ds004817,0.0
ds004837,0.0
ds004819,1.0
ds004840,2.0
ds004598,1.0
ds004841,0.0
ds004842,1.0
ds004843,1.0
ds004844,0.0
ds004849,0.0
ds004850,0.0
ds004852,0.0
ds004851,0.0
ds004853,0.0
ds004854,0.0
ds004855,1.0
ds004859,1.0
ds004860,1.0
ds004865,0.0
ds004940,0.0
ds004902,12.0
ds004942,1.0
ds004883,5.0
ds004944,1.0
ds004952,2.0
ds004977,1.0
ds004980,1.0
ds004993,1.0
ds004951,2.0
ds004995,1.0
ds004998,1.0
ds005007,0.0
ds005021,0.0
ds005028,1.0
ds005034,1.0
ds005059,0.0
ds005048,3.0
ds005079,1.0
ds005087,1.0
ds005089,1.0
ds005083,1.0
ds005065,2.0
ds005095,7.0
ds005106,1.0
ds005107,1.0
ds005114,0.0
ds005121,1.0
ds005131,0.0
ds005169,1.0
ds005170,1.0
ds005178,0.0
ds005185,2.0
ds005189,2.0
ds005234,4.0
ds005207,1.0
ds005241,1.0
ds005261,3.0
ds005262,0.0
ds005274,0.0
ds005273,1.0
ds005280,0.0
ds005284,0.0
ds005279,0.0
ds005285,1.0
ds005286,2.0
ds005289,0.0
ds005291,0.0
ds005292,0.0
ds005305,5.0
ds005296,1.0
ds005307,2.0
ds005293,1.0
ds005342,1.0
ds005340,1.0
ds005345,3.0
ds005343,1.0
ds005383,1.0
ds005363,1.0
ds005356,1.0
ds005397,1.0
ds005385,4.0
ds005403,2.0
ds005398,5.0
ds005406,0.0
ds005407,0.0
ds005408,0.0
ds005410,1.0
ds005411,1.0
ds005415,1.0
ds005416,0.0
ds005420,0.0
ds005448,0.0
ds005429,0.0
ds005473,0.0
ds005486,1.0
ds005489,0.0
ds005494,0.0
ds005505,1.0
ds005506,2.0
ds005507,1.0
ds005491,0.0
ds005508,3.0
ds005510,1.0
ds005509,2.0
ds005511,2.0
ds005512,3.0
ds005514,1.0
ds005515,0.0
ds005520,0.0
ds005516,70.0
ds005522,0.0
ds005523,0.0
ds005530,0.0
ds005545,1.0
ds005555,0.0
ds005540,1.0
ds005557,0.0
ds005558,0.0
ds005565,1.0
ds005574,1.0
ds005592,0.0
ds005620,4.0
ds005624,1.0
ds005642,0.0
ds005586,2.0
ds005628,0.0
ds005662,0.0
ds005648,0.0
ds005670,0.0
ds005672,3.0
ds005688,1.0
ds005691,2.0
ds005692,3.0
ds005697,4.0
ds005795,1.0
ds005779,0.0
ds005787,0.0
ds005810,0.0
ds005811,4.0
ds005841,1.0
ds005815,1.0
ds005857,0.0
ds005863,0.0
ds005866,1.0
ds005868,1.0
ds005872,0.0
ds005876,1.0
ds005873,2.0
ds005907,0.0
ds005931,1.0
ds005932,0.0
ds005953,0.0
ds005960,2.0
ds005594,2.0
ds005946,0.0
ds006035,1.0
ds006012,0.0
ds006018,2.0
ds006040,0.0
ds006036,5.0
ds006065,1.0
ds006095,0.0
ds006126,0.0
ds006107,1.0
ds006159,0.0
ds006142,3.0
ds006104,2.0
ds006233,0.0
ds006171,0.0
ds006234,1.0
ds006253,1.0
ds006269,0.0
ds006334,0.0
ds006317,0.0
ds006260,2.0
ds006366,0.0
ds006370,0.0
ds006367,0.0
ds006374,0.0
ds006392,1.0
ds006394,1.0
ds006437,1.0
ds006434,0.0
ds006465,0.0
ds006446,0.0
ds006466,0.0
ds006468,0.0
ds006519,0.0
ds006502,0.0
ds006525,0.0
ds006480,1.0
ds006547,0.0
ds006563,0.0
ds006554,0.0
ds006593,0.0
ds006629,0.0
ds006647,0.0
ds006576,0.0
ds006648,0.0
ds006720,0.0
ds006695,0.0
ds006735,0.0
ds006768,0.0
ds006777,0.0
ds006780,0.0
ds006801,0.0
ds006802,0.0
ds006803,0.0
ds006817,0.0
ds006840,0.0
ds006839,0.0
ds006848,1.0
ds006850,0.0
ds006861,0.0
ds006866,0.0
ds006890,0.0
ds006910,1.0
ds006914,0.0
ds006923,0.0
ds006921,0.0
ds006940,0.0
ds006945,0.0
ds006963,0.0
ds007006,0.0
ds007020,0.0
ds007043,0.0
ds007081,0.0
ds007095,0.0
ds007172,0.0
ds007175,0.0
ds006761,1.0
ds007176,0.0
